대명칭,경도,위도
한남동마을마당공중화장실,127.0072534,37.53030221
휘경1동주민센터,127.0657261,37.5929858
살곶이공원진출부공중화장실,127.0463602,37.55398168
시립동부병원,127.0315447,37.57541174
화곡우체국,126.8457255,37.54407312
월계역옆공중화장실,127.0590943,37.63500054
강서중앙병원,126.80932,37.56226371
중앙공원화장실,126.9037833,37.5214533
신당1동1호공중화장실,127.0133761,37.5639496
상계3동우체국,127.0770504,37.66635347
신당1동3호공중화장실,127.0138025,37.56138342
숭인동2공중화장실,127.0173915,37.57866673
상계3치안센터,127.0752354,37.66392378
춘추관주차장공중화장실,126.9766224,37.58627164
방화2공중화장실,126.8084268,37.56367933
중곡1동사무소,127.0800183,37.56071276
원당공중화장실,126.8420414,37.55978597
월계3동주민센터,127.0692391,37.62105492
다사랑공원화장실,126.8973129,37.49846239
공릉1.3동 주민센터,127.0737487,37.62488007
개봉지구대,126.8564558,37.49189044
서서울정보산업후문화장실,126.8284466,37.50334502
신도림동주민센터,126.8805329,37.50784887
전농1동주민센터,127.0476794,37.57802412
용답휴식공원공중화장실,127.047474,37.56999525
용답인조잔디구장화장실,127.0540369,37.56015631
대흥동주민센터,126.9427945,37.55600847
무학봉근린공원화장실,127.0270029,37.56161109
효창공원놀이터공중화장실,126.960937,37.54663139
동심공원화장실,126.899438,37.49278899
살곶이인라인공원화장실,127.0477242,37.55403555
인왕산등산로입구공중화장실,126.9623586,37.5776279
북부지방법원,127.0762299,37.61998959
누상동공중화장실,126.9655703,37.58165448
공릉동우체국,127.075715,37.61849343
창신동저소득지역공중화장실,127.0098414,37.57554696
화랑지구대,127.0746004,37.62261103
무악동배드민턴장공중화장실,126.9569202,37.57794928
월계문화정보도서관,127.0561682,37.62868969
인왕산수목원약수터공중화장실,126.9637748,37.58300918
노원전화국,127.0637012,37.65464478
자매공원화장실,126.93049,37.51757476
중계1동주민센터,127.0775057,37.65261423
용답꽃공원공중화장실,127.0540369,37.56015631
동대문구청,127.0401935,37.57457204
살곶이공원진입부공중화장실,127.0463602,37.55398168
서울문화재단,127.0335566,37.57145712
매봉공원화장실,127.0112609,37.54627597
문래동3가공중화장실,126.9019676,37.51514462
상계2동주민센터,127.068502,37.65886628
쌍문3동주민센터,127.0279179,37.64902085
효창공원매점옆공중화장실,126.9629202,37.54487404
창5동주민센터,127.0391502,37.65202734
구산중공중화장실,126.9087173,37.60954765
인현동주민센터,126.9652516,37.4751579
영천공중화장실,126.9604487,37.57160304
이촌로공중화장실,126.9610743,37.52311355
원지공원화장실,126.8996276,37.49810274
상계1동주민센터,127.055001,37.67991261
도봉1동주민센터,127.0433192,37.6787392
늘푸른공원공중화장실,126.9567784,37.53482609
도봉2동주민센터,127.0465465,37.6697913
동대문우체국,127.0238612,37.57501853
송정제방공중화장실,127.0600419,37.54911751
동대문구정보화도서관,127.0473356,37.59006211
새나라공원공중화장실,126.9765714,37.54789933
도봉구행정지원센터,127.0439445,37.6526983
신당4동공중화장실,127.0168712,37.55503244
방학3동주민센터,127.028016,37.65923253
배재공원공중화장실,126.9723492,37.56433609
쌍문1동주민센터,127.0260809,37.64809637
오금교와 신정교사이화장실,126.8828703,37.5139956
상계9동주민센터,127.0638111,37.66455597
도봉2동우체국,127.0470765,37.67511555
이태원1공중화장실,126.9886742,37.53431959
방학우체국,127.043274,37.66569344
복지회관앞공중화장실,127.0874134,37.6426723
등촌우체국,126.8482195,37.55886354
쌈지공원옆화장실,127.0881482,37.64416904
염창동우체국,126.8740311,37.54729538
노인정옆화장실,127.0838237,37.64113181
동대문운동장공중화장실,127.009799,37.5668649
중계3우체국,127.0686214,37.64172457
흥인벼룩시장공중화장실,127.0169824,37.56976342
상계4치안센터,127.0778622,37.67150194
보훈회관,127.0548283,37.58274732
궁터장공중화장실,127.0419502,37.5535973
장안종합사회복지관,127.0661025,37.56800046
쌍문4동주민센터,127.0284737,37.65651402
신당1동4호공중화장실,127.0133073,37.5608219
신당3동공중화장실,127.0134316,37.55043954
하계동주민센터,127.0725835,37.64061553
숭인동1공중화장실,127.0176173,37.57865492
중계2동주민센터,127.0660789,37.63892387
왕십리도선동주민센터,127.0315309,37.56598844
은모루어린이공원화장실,127.0268239,37.64240254
보문동주민센터,127.0228183,37.58036022
삼각지공중화장실,126.96842,37.53114435
휘경2동주민센터,127.0565644,37.58820797
효창공원헌수동산공중화장실,126.9598881,37.54400565
도장골공원화장실,127.0271042,37.55471005
동대문구민회관,127.0734751,37.56749226
한아름공중화장실,127.0613426,37.65756821
발산동우체국,126.8360739,37.55111053
상도교공중화장실,127.053304,37.68756464
조원동주민센터,126.9093473,37.48121629
녹천교옆공중화장실,127.0566435,37.64529098
강서우체국,126.8408152,37.5651633
영등포평생학습관,126.9073145,37.52605278
중곡동충전소화장실,127.0737293,37.56000429
거리공원해병대초소화장실,126.8904376,37.50102652
구로구시설관리공단,126.8863907,37.48970849
화원어린이공원화장실,126.8802722,37.49776904
교통안전공단,126.8340391,37.49272261
서교동주민센터,126.9199667,37.55624426
뻥튀기골공중화장실,127.0898281,37.56806763
염리동주민센터,126.9456719,37.54713372
노원구청,127.0563959,37.65393059
신길2동공중화장실,126.9153946,37.51622358
상계5동주민센터,127.0694277,37.66302113
답십리2동주민센터,127.0613335,37.56744436
마장어린이공원화장실,127.0457962,37.56612455
아현동주민센터,126.9521655,37.54718997
응봉자전거무료대여소화장실,127.034554,37.55013639
도화동주민센터,126.9502212,37.53766105
배나무터공원화장실,127.0802797,37.56848371
신수동주민센터,126.934521,37.5469092
청림동주민센터,126.9587025,37.49187868
회기동주민센터,127.0551175,37.59062615
장안1동주민센터,127.0663791,37.56786349
효창공원북문공중화장실,126.9616703,37.5450927
장미약수터화장실,126.9413992,37.60579864
보라매동주민센터,126.9327457,37.48821607
개봉파출소,126.852936,37.49803185
꿈마을어린이공원화장실,126.8902118,37.48725502
신우공원화장실,126.8992024,37.50332526
중계본동주민센터,127.0802859,37.64786525
달맞이봉공중화장실,127.0206462,37.54485636
청량리동주민센터,127.0472998,37.58632897
마장축산물시장공중화장실,127.0441409,37.56983543
도봉구보건소,127.0388637,37.65804303
도봉구청,127.0470244,37.66893407
개봉3치안센터,126.8538867,37.48601861
고척교와 오금교사이화장실,126.8717417,37.49961207
월계2동주민센터,127.0507464,37.63258382
도원공원공중화장실,126.9548005,37.53718457
도봉구민회관,127.0386188,37.65394794
장충체육관앞공중화장실,127.0068293,37.55816966
노원소방서,127.0709551,37.63854647
광희동시범공중화장실,127.0063522,37.56430443
노원우체국,127.0807744,37.64617133
을지로시범공중화장실,127.008285,37.5656488
중계동우체국,127.0784012,37.65292258
양평동1가공중화장실,126.8864412,37.52405183
월계1동주민센터,127.0628442,37.62001988
광장동주민센터,127.1029808,37.54691772
